,DEPT,TDEP,BS,CALI,TENS,TEM2,NPHI,NDSN,FDSN,NRAT,NLIM,NPHS,NPHD,GR,DCAL,BHV,AHV,BHVT,AHVT,RHOB,DRHO,PE,DPHI,DLIM,DPHD,DPHS,CS,MINM,RT90,RT60,RT30,RT20,RT10,NHI,NLO,NBA,NDE,NPK,NLI,FHI,FLO,FBA,FDE,FPK,FLI,DT,TTI,VP,VS,RHO_MIN,VP/VS,AI,COR_RHO,clusters,LIT,IGR,VSH
199,5098.6944,5098.6944,12.25,11.7838,7258.442,-23.0529,7.5323,17332.2723,2902.3812,6.2622,7.5323,11.3854,6.1638,17.1717,-0.4662,0.0054,0.0018,2.2413,0.8177,2.599,-0.0148,4.8413,0.030899999999999997,6.4904,14.4912,3.09,4.7944,0.0,246.8472,257.8226,256.8453,255.3769,254.2606,139.8483,147.057,9193.5886,5676.3851,3170.2382,2870.2768,93.4304,85.0518,2949.5008,2430.897,1330.5321,786.7478,57.6837,3.5256,5283.988371064963,2920.4138,2.8107111996945964,1.809328643032306,2033.0851754770922,2.5842,0,0,0.2538075452883497,0.1391603573359167
200,5098.542,5098.542,12.25,11.7837,7310.3882,-23.0529,8.3326,17021.7907,2550.3508,6.5973,8.3326,12.2795,6.946,16.93,-0.4663,0.0054,0.0018,2.2495,0.8204,2.5585,-0.0162,4.9444,0.055467,8.8608,16.6588,5.5467,3.946,0.0,311.4369,318.5992,307.9092,316.9186,327.0216,141.3672,152.8111,9281.5337,5629.2429,3184.5766,2823.0931,84.7777,87.8055,2892.9891,2385.0116,1283.2221,810.5949,59.4387,3.5552,5127.972179741482,2883.3916,2.7910685805422646,1.7784515211054412,2004.2885205165067,2.5423,0,0,0.24845160932912305,0.1356897870764238
201,5098.3896,5098.3896,12.25,11.7771,7245.2061,-23.0529,9.4252,16092.5039,2404.3716,7.0486,9.4252,13.4918,8.0107,15.709,-0.4729,0.0054,0.0018,2.263,0.8249,2.5077,-0.0204,4.989,0.08626099999999999,11.8322,19.3759,8.6261,3.5,0.0,498.2708,480.476,436.9041,489.1683,605.1616,141.3004,152.5495,9406.5784,5621.9651,3251.7788,2901.6173,86.18,97.0185,2927.5743,2371.879,1242.2678,751.9941,60.7596,3.5855,5016.491221140363,2830.112,2.768650883027067,1.7725415509416276,2000.4351481996905,2.4873,0,0,0.22139493656861117,0.1185459848678571
202,5098.2372,5098.2372,12.25,11.782,7201.6616,-23.0529,10.8122,15795.7276,2261.9312,7.6124,10.8122,15.0165,9.3569,15.0928,-0.468,0.0054,0.0018,2.2712,0.8276,2.5081,-0.0203,4.9073,0.08598900000000001,11.8059,19.3519,8.5989,3.5,0.0,630.296,592.847,522.4589,575.5473,671.2475,142.9163,152.6776,9262.4918,5593.8997,3270.8504,2929.3463,85.9104,82.869,2917.3183,2393.7002,1246.5303,797.4952,61.8196,3.6164,4930.475124394205,2787.4138,2.8121559226710384,1.7688350010750107,1965.8207903967962,2.4878,0,0,0.20774029139659855,0.11013515447243928
203,5098.0848,5098.0848,12.25,11.7884,7193.5271,-23.0529,12.0251,15905.0665,2078.1001,8.0995,12.0251,16.3395,10.5302,15.4483,-0.4616,0.0054,0.0018,2.2847,0.8321,2.5131,-0.0203,4.8191,0.08296300000000001,11.514,19.085,8.2963,3.4152,0.0,798.7046,727.5021,624.7131,654.7537,718.4839,151.4197,148.3636,9186.8041,5521.8755,3202.5082,2877.9233,83.6933,78.64,2923.9333,2463.2204,1231.6535,748.213,62.6936,3.6477,4861.740273329335,2752.9531,2.8566102376927964,1.766009100982907,1934.559020066585,2.4928,0,0,0.2156179713035289,0.11496811692269661
204,5097.9324,5097.9324,12.25,11.7911,7206.3326,-23.0529,12.1669,15819.5407,2060.74,8.1572,12.1669,16.4932,10.6669,16.3714,-0.4589,0.0054,0.0018,2.2929,0.8348,2.5086,-0.0181,4.8694,0.085695,11.7776,19.326,8.5695,3.5,0.0,883.5341,796.9567,679.08,690.0889,738.3017,142.0695,145.3196,9171.011,5511.6358,3127.3972,2816.6643,98.7824,83.0686,2862.6247,2385.6879,1203.9698,763.176,63.1472,3.6793,4826.817341069755,2735.4377,2.856098668952821,1.7645502448041146,1924.1080048910765,2.4905,0,0,0.23607334773696753,0.12776676388297425
205,5097.78,5097.78,12.25,11.8061,7290.9268,-23.0529,12.7259,15786.4994,2056.9998,8.3801,12.7259,17.0981,11.2058,16.7368,-0.4439,0.0054,0.0018,2.3022,0.8379,2.5022,-0.0133,4.9473,0.089602,12.1545,19.6707,8.9602,4.08,0.0,979.5396,875.5721,741.519,731.618,761.1443,134.9343,141.6464,9209.4945,5504.4743,3132.207,2799.5352,79.6295,79.5,2859.4067,2376.0552,1249.8888,802.9447,63.3003,3.7109,4815.143056194046,2729.5686,2.8670590702167082,1.7640674244245946,1924.363782349151,2.4889,0,0,0.24417040607168577,0.13293410009604137
206,5097.6276,5097.6276,12.25,11.8176,7239.4629,-23.0529,13.4373,15963.9495,1923.911,8.6616,13.4373,17.8649,11.8905,16.0101,-0.4324,0.0054,0.0018,2.3147,0.8421,2.4995,-0.0077,4.9777,0.09120400000000001,12.3092,19.8121,9.1204,3.7828,0.0,1099.2976,974.6936,823.3426,788.056,793.1911,141.2206,147.5244,9295.3051,5581.1312,3146.3428,2823.5928,95.0645,93.3992,2992.7166,2467.7027,1302.0127,801.842,63.3609,3.7426,4810.537729104227,2727.2532,2.887502353785175,1.7638764802872655,1924.6000116440198,2.4918,0,0,0.22806714309456544,0.1227141219465693
207,5097.4752,5097.4752,12.25,11.8168,7165.1075,-23.0529,13.8849,15840.144,1820.3995,8.8358,13.8849,18.3455,12.3206,15.3415,-0.4332,0.0054,0.0018,2.3243,0.8454,2.509,-0.0036,4.898,0.085469,11.7558,19.3061,8.5469,4.6728,0.0,1171.3957,1038.4568,877.966,828.8445,818.7912,146.7869,152.0547,9346.8713,5578.5142,3197.5385,2841.4913,86.0037,95.906,3115.6984,2662.5105,1325.6601,863.3492,63.2244,3.7743,4820.92356748344,2732.4746,2.913542456549432,1.7643068121998513,1921.4521990767,2.5054,0,0,0.21325134341587726,0.11351063862356843
208,5097.3228,5097.3228,12.25,11.8093,7214.2375,-23.0529,13.8497,15795.6519,1873.6913,8.8191,13.8497,18.3077,12.2867,14.9602,-0.4407,0.0054,0.0018,2.3365,0.8495,2.5251,-0.0021,4.6894,0.075668,10.8101,18.4413,7.5668,5.3456,0.0,1242.4355,1106.3552,940.6487,879.1073,853.9507,143.5635,148.6332,9337.5021,5564.8399,3238.136,2844.0332,79.7082,100.2432,3173.0501,2652.4807,1336.0887,821.9329,62.745,3.8058,4857.757590246235,2750.956,2.9310402865689382,1.7658433990498845,1923.7882025449426,2.523,0,0,0.20480195003046925,0.10834595181240106
